# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Sep 28 07:45:54 EAT 2024 [seed=876754398712]
# -seed 876754398712 ../../beast_run/kenya_continous.xml
state	joint	prior	likelihood	coordinates.precision.col11	coordinates.precision.col12	coordinates.precision.col21	coordinates.precision.col22	correlation	coordinates.varCovar.coordinates.precision.col11	coordinates.varCovar.coordinates.precision.col12	coordinates.varCovar.coordinates.precision.col21	coordinates.varCovar.coordinates.precision.col22	coordinates.diffusionRate	coordinates.traitLikelihood
4200000	-601.3804621328784	-283.21351450224324	-318.16694763063515	0.3532518611036531	0.23946416641685	0.23946416641685	0.25749947662794004	-0.793981036538835	7.659324960571231	-7.122864446241556	-7.122864446241556	10.507480762878851	557.4063899516694	-318.16694763063515
4250000	-580.1015595128457	-271.7293684487224	-308.3721910641233	0.4219653430641682	0.25029534809268217	0.25029534809268217	0.25540792187730155	-0.762425134184229	5.659942859719595	-5.546646156648078	-5.546646156648078	9.350922684663288	554.0205818374303	-308.3721910641233
4300000	-565.40827644154	-256.35679530374983	-309.0514811377902	0.3839769265800213	0.29748758005105197	0.29748758005105197	0.310301162631232	-0.8618358854002757	10.124141743438136	-9.706075226435873	-9.706075226435871	12.527948003616668	566.211051326252	-309.0514811377902
4350000	-583.9026696683457	-263.03310494618694	-320.8695647221587	0.38912252305290473	0.26104401406069305	0.26104401406069305	0.23925213298603876	-0.8555445817357069	9.587566768505301	-10.460834280092197	-10.460834280092199	15.593332959404252	561.6751851608232	-320.8695647221587
4400000	-578.7462289514103	-262.2621974254985	-316.48403152591175	0.34648412449158095	0.24718955539191048	0.24718955539191048	0.24018159773556536	-0.8568771885220681	10.859869828417013	-11.176736352032853	-11.176736352032853	15.66636463853627	569.6682767664264	-316.48403152591175
4450000	-562.1128585261713	-260.1922065535201	-301.92065197265117	0.40987925243194984	0.28087330881397354	0.28087330881397354	0.2778027035269273	-0.8323658787010751	7.942723536504408	-8.03051594663973	-8.03051594663973	11.718955733994575	568.7064179744897	-301.92065197265117
4500000	-527.4262132057526	-211.40090887455437	-316.0253043311982	0.3658925284583232	0.22953641574006467	0.22953641574006467	0.2253062530340978	-0.7994442856820416	7.5730881770516145	-7.715274178301718	-7.715274178301718	12.298532970231838	567.1915011893782	-316.0253043311982
4550000	-547.0298613801695	-238.74185886023105	-308.28800251993846	0.4101349515622115	0.2774720339927839	0.2774720339927839	0.31611040021850895	-0.7706131839009356	6.003175938607373	-5.2694040972727105	-5.2694040972727105	7.7887733877096474	549.0863951944903	-308.28800251993846
4600000	-520.3945627413498	-223.7225707415136	-296.67199199983617	0.3330776996650116	0.2082282339005147	0.2082282339005147	0.2768757388780228	-0.6856845849043913	5.666468087176927	-4.2615458003934785	-4.2615458003934785	6.816683048324322	546.2417002354039	-296.67199199983617
4650000	-520.8436989909342	-240.58109051069138	-280.2626084802428	0.46135029202877237	0.30949137653727055	0.30949137653727055	0.3260995022965239	-0.7979176737245343	5.965832640306926	-5.661995013904231	-5.661995013904232	8.440180409406658	561.9152705064365	-280.2626084802428
4700000	-521.2234533557286	-230.56533729965756	-290.658116056071	0.4337439224047465	0.29282750307559463	0.29282750307559463	0.3135756058234709	-0.7940064457364816	6.238626236020591	-5.825840114438734	-5.8258401144387335	8.629390053868123	556.9471677410771	-290.658116056071
4750000	-533.0049724613531	-242.29925897760523	-290.70571348374784	0.3545553490042307	0.23556068219244622	0.23556068219244622	0.27253007923291594	-0.7577981858800672	6.624750926824657	-5.726086647280352	-5.726086647280352	8.618648200366156	548.5500679178813	-290.70571348374784
4800000	-566.4546210742419	-258.4504828524032	-308.00413822183873	0.40263474375741126	0.26024947197716514	0.26024947197716514	0.2779672014052983	-0.7779245114717303	6.290349970414789	-5.889400800078787	-5.889400800078787	9.111555016843518	571.7314165166924	-308.00413822183873
4850000	-576.2979808328298	-250.68479925003476	-325.61318158279505	0.33096485477247184	0.23685667222633242	0.23685667222633242	0.24532493007686149	-0.831235039904782	9.776687883860374	-9.439210914443796	-9.439210914443798	13.189609733604575	570.089368541361	-325.61318158279505
4900000	-547.846927822282	-243.31439025472608	-304.532537567556	0.2938115753721229	0.1920651426261927	0.1920651426261927	0.22447242909936277	-0.7478811705035264	7.723495754867519	-6.608447726445684	-6.608447726445684	10.109270275295343	570.0360081656737	-304.532537567556
4950000	-612.7587257690637	-296.16811654803064	-316.5906092210331	0.2608421787839712	0.17940829067693606	0.17940829067693606	0.20666566809599723	-0.77271515623913	9.515086632409627	-8.260130693650702	-8.260130693650702	12.00942542310944	560.412628897681	-316.5906092210331
