# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Feb 19 12:45:00 EAT 2025 [seed=1739958299565]
# ../beast_run/FY.4_may.xml
state	location.rates.Kenya.Others	location.rates.Others.Kenya	location.indicators.Kenya.Others	location.indicators.Others.Kenya	location.nonZeroRates
256000	1.8011240784864044	0.022031778260026728	1.0	1.0	2.0
257000	2.2548504496778117	0.01914165440277754	1.0	1.0	2.0
258000	3.7255916602421593	0.1317585858261066	1.0	1.0	2.0
259000	1.610173081252725	0.001091692060345654	1.0	1.0	2.0
260000	1.744884552374215	0.002568181690892342	1.0	1.0	2.0
261000	0.7038047012430603	0.005572339184207634	1.0	1.0	2.0
262000	0.5788080482486198	0.01798496493885877	1.0	1.0	2.0
263000	0.9432182726804307	0.010200950217650287	1.0	1.0	2.0
264000	1.07024121965071	0.00908089376476664	1.0	1.0	2.0
265000	0.9444775809595632	3.3175859136449744E-4	1.0	1.0	2.0
266000	1.7868366702040506	0.002884458542265343	1.0	1.0	2.0
267000	0.69720279375727	0.014215584764298413	1.0	1.0	2.0
268000	1.4748847038566173	0.03206796565287043	1.0	1.0	2.0
269000	0.4112191655393968	0.007293496314401338	1.0	1.0	2.0
270000	1.2141382952485713	0.03646645198312446	1.0	1.0	2.0
271000	1.0729492063515678	0.0306512296479578	1.0	1.0	2.0
272000	4.33738822138204	0.03891659954067402	1.0	1.0	2.0
273000	0.6350372757231514	0.002876376425007458	1.0	1.0	2.0
274000	0.669148232129835	0.012721520946987667	1.0	1.0	2.0
275000	1.0264506106195166	0.011264198080675613	1.0	1.0	2.0
276000	1.6781439278064973	0.051156989735983115	1.0	1.0	2.0
277000	1.5505499347505327	0.06133801396682153	1.0	1.0	2.0
278000	1.1247382817232459	0.005265684123694354	1.0	1.0	2.0
279000	2.5528832398253853	0.001888688869533732	1.0	1.0	2.0
280000	0.6791267299343633	0.0010997145203379428	1.0	1.0	2.0
281000	4.028648824863744	0.22343202219209735	1.0	1.0	2.0
282000	4.162294715228321	0.018706071252475517	1.0	1.0	2.0
283000	3.540164388896672	0.02896801050810905	1.0	1.0	2.0
284000	4.53996447431926	0.006485173619565024	1.0	1.0	2.0
285000	1.661594572223848	0.0055567191200085785	1.0	1.0	2.0
286000	3.3345299293083874	0.02999849058748863	1.0	1.0	2.0
287000	1.6069528914775926	0.006202608916057804	1.0	1.0	2.0
288000	1.0029301764230982	0.016844858439454595	1.0	1.0	2.0
289000	0.22612658462590238	0.0011072642355087435	1.0	1.0	2.0
290000	1.3909936503248828	0.023448530023911278	1.0	1.0	2.0
291000	3.392431262031665	0.006045749067714688	1.0	1.0	2.0
292000	2.5890422028823346	0.11191886590947094	1.0	1.0	2.0
293000	0.7878241336534912	0.006531772523526255	1.0	1.0	2.0
294000	5.701075137895194	0.04999953981961033	1.0	1.0	2.0
295000	0.5073312366172356	0.015180429219177064	1.0	1.0	2.0
296000	1.515547048349671	0.008610152977256707	1.0	1.0	2.0
297000	0.6388248485518797	0.00196120144578871	1.0	1.0	2.0
298000	2.708543494597537	0.028632083196869596	1.0	1.0	2.0
299000	1.4184961440213881	0.008955579049448464	1.0	1.0	2.0
300000	1.178132837713649	0.02326547931362781	1.0	1.0	2.0
301000	1.5450020344407136	0.009263246546098206	1.0	1.0	2.0
302000	1.9055179646330487	0.008849077641485912	1.0	1.0	2.0
303000	0.715945816127376	9.228068211219415E-4	1.0	1.0	2.0
304000	0.7881053804119252	0.003184743888506796	1.0	1.0	2.0
305000	0.2103942632175396	4.6123326708453566E-4	1.0	1.0	2.0
306000	4.497668448439408	0.017479879216103382	1.0	1.0	2.0
307000	3.10628207838854	0.023373016975287583	1.0	1.0	2.0
308000	1.111415949924039	0.01118189870314415	1.0	1.0	2.0
309000	2.0040728075983854	0.026599646643786445	1.0	1.0	2.0
310000	0.22511839977158044	1.351968281935131E-5	1.0	1.0	2.0
311000	1.7866639384799152	0.002298322553156168	1.0	1.0	2.0
312000	2.1415064608204673	0.010508150807610323	1.0	1.0	2.0
313000	3.348044725747579	0.026670731021678426	1.0	1.0	2.0
314000	1.1972477195680884	4.1786449936419273E-4	1.0	1.0	2.0
315000	2.604098781845033	0.014362948064777585	1.0	1.0	2.0
316000	0.6505300770318875	0.013996289865077978	1.0	1.0	2.0
317000	2.5919145689735044	0.010180708721889368	1.0	1.0	2.0
318000	2.423846258506163	0.03844841719266915	1.0	1.0	2.0
319000	2.0405405020459275	0.0217383940672106	1.0	1.0	2.0
320000	3.3975032781659875	0.019750274493889018	1.0	1.0	2.0
321000	2.0555340531833326	0.007448626885156107	1.0	1.0	2.0
322000	0.38777813645395265	0.002054823562965837	1.0	1.0	2.0
323000	1.8225998112760777	0.03828652520415677	1.0	1.0	2.0
324000	4.065219428034893	0.04476001726020689	1.0	1.0	2.0
325000	1.4457678136849754	0.0014657347436909858	1.0	1.0	2.0
326000	1.5946999040275394	0.008178461388374384	1.0	1.0	2.0
327000	1.5183005130954859	0.04470073405683079	1.0	1.0	2.0
328000	3.886636191789684	0.031576806514793554	1.0	1.0	2.0
329000	2.4880590112313405	8.005489468065486E-4	1.0	1.0	2.0
330000	2.080285590064922	0.039330324821499646	1.0	1.0	2.0
331000	1.3850160313379998	0.00584908663346901	1.0	1.0	2.0
332000	0.27136090977117033	1.346131001552258E-4	1.0	1.0	2.0
333000	1.3898053384145117	0.014945456218321277	1.0	1.0	2.0
334000	1.6124507487348563	0.016441555295408434	1.0	1.0	2.0
335000	1.8144813674289544	0.003932225755618163	1.0	1.0	2.0
336000	3.9074459898645535	0.07233933503018447	1.0	1.0	2.0
337000	3.1222939329786583	0.010739248547631228	1.0	1.0	2.0
338000	2.430064998607456	0.02291043498682807	1.0	1.0	2.0
339000	0.04435277965019762	2.279921712520983E-4	1.0	1.0	2.0
340000	3.360307754996486	0.06344965830856053	1.0	1.0	2.0
341000	0.3392667219913731	0.001591142080229468	1.0	1.0	2.0
342000	1.0487702095419638	2.2114450517778304E-4	1.0	1.0	2.0
343000	1.6851376307098762	0.06726634658006125	1.0	1.0	2.0
344000	0.7596327673726924	0.028534644191450124	1.0	1.0	2.0
345000	0.3770124585092319	0.0021404000239952812	1.0	1.0	2.0
346000	2.3965615876606554	5.819294801918608E-4	1.0	1.0	2.0
347000	1.0400454181071552	0.002243496289488762	1.0	1.0	2.0
348000	1.7979377063885436	0.018591999846503404	1.0	1.0	2.0
349000	0.9068970208247618	0.0013873753913813563	1.0	1.0	2.0
350000	0.9885885135500527	0.0017908034670434767	1.0	1.0	2.0
351000	0.3378255111011131	3.5217088282463905E-5	1.0	1.0	2.0
352000	3.7213281976219985	4.0602018851280264E-4	1.0	1.0	2.0
353000	1.8260168720900711	0.08447110094176541	1.0	1.0	2.0
354000	3.1569681720079945	0.16102267174895238	1.0	1.0	2.0
355000	1.4904880595778331	0.01622356942707467	1.0	1.0	2.0
356000	1.1554175653148306	0.02553294392906424	1.0	1.0	2.0
357000	2.215167200407837	0.09636204325427951	1.0	1.0	2.0
358000	0.7258001150579046	0.03746260679577479	1.0	1.0	2.0
359000	0.9865405162905654	0.027288389988847576	1.0	1.0	2.0
360000	1.0159344895765938	0.0019340453790649653	1.0	1.0	2.0
361000	6.5186619823564	0.00914246698163051	1.0	1.0	2.0
362000	4.46652700940588	0.195232954330797	1.0	1.0	2.0
363000	0.9961968607231052	0.002313860363147441	1.0	1.0	2.0
364000	2.0737967625793203	0.10395340750856316	1.0	1.0	2.0
365000	2.0752797344537606	0.024777620088744394	1.0	1.0	2.0
366000	2.2437247671915674	0.06709695195814007	1.0	1.0	2.0
367000	0.8216194766654669	0.0012597036144968363	1.0	1.0	2.0
368000	5.29166105555673	0.12305702979364166	1.0	1.0	2.0
369000	1.074423249983409	0.0024308146997339755	1.0	1.0	2.0
370000	1.5211133180505714	0.007050876569886823	1.0	1.0	2.0
371000	1.2325629447288118	0.028902343157649744	1.0	1.0	2.0
372000	2.099970633614379	0.043126215842837455	1.0	1.0	2.0
373000	4.443168596995646	0.012241630175590892	1.0	1.0	2.0
374000	4.277655795115779	0.20344412233059714	1.0	1.0	2.0
375000	2.08729448280697	0.03777613665009866	1.0	1.0	2.0
376000	0.8086385159041829	0.004925255705990966	1.0	1.0	2.0
377000	0.8183539934442223	3.320307136629181E-4	1.0	1.0	2.0
378000	0.6954191291444276	0.01081126649316241	1.0	1.0	2.0
379000	1.0301341434899365	0.016584652319480312	1.0	1.0	2.0
380000	1.1576253032150363	0.04682013697594611	1.0	1.0	2.0
381000	0.4366793849092807	0.0029982642025374044	1.0	1.0	2.0
382000	1.111071698844389	0.003388566242124402	1.0	1.0	2.0
383000	2.8022890172349	0.08677396543569862	1.0	1.0	2.0
384000	1.99511298428551	0.004969853139293765	1.0	1.0	2.0
385000	2.7989177109664336	0.09066930222610325	1.0	1.0	2.0
386000	1.7742161587369552	0.0012427769458983559	1.0	1.0	2.0
387000	2.6859597008642204	0.024474136794905836	1.0	1.0	2.0
388000	1.8720038234829923	0.005723668960415294	1.0	1.0	2.0
389000	1.4791427711842602	0.013352116627157708	1.0	1.0	2.0
390000	0.2718732337815637	4.7888240683593254E-4	1.0	1.0	2.0
391000	0.7383959928981638	0.007887848400578906	1.0	1.0	2.0
392000	0.47643842967176875	0.027412229845439763	1.0	1.0	2.0
393000	4.536851063433871	0.07735125476316977	1.0	1.0	2.0
394000	1.329420367113913	0.028726066411084623	1.0	1.0	2.0
395000	1.515430199381109	0.011569167382124865	1.0	1.0	2.0
396000	0.7253974451561092	0.004383418242442445	1.0	1.0	2.0
397000	1.0739337479861777	0.008746257920184117	1.0	1.0	2.0
398000	2.6911653341461084	0.019388990696224902	1.0	1.0	2.0
399000	0.7920707988514911	0.010216316503876144	1.0	1.0	2.0
400000	2.0959808747001096	0.05674295957791012	1.0	1.0	2.0
401000	0.9776751230807458	0.0033989240226399097	1.0	1.0	2.0
